21; [inimigos, (90, -50)]; [inimigo1, (90, -50)]; [inimigo2, (90, -50)]; [inimigo3, (90, -50)]; [inimigo4, (90, -50)]; [inimigo5, (90, -50)]; 125
22; [inimigos, (90, -50)]; [inimigo1, (90, -50)]; [inimigo2, (90, -50)]; [inimigo3, (90, -50)]; [inimigo4, (90, -50)]; [inimigo5, (90, -50)]; 110
23; [inimigos, (90, -50)]; [inimigo1, (90, -50)]; [inimigo2, (90, -50)]; [inimigo3, (90, -50)]; [inimigo4, (90, -50)]; [inimigo5, (90, -50)]; 160
24; [inimigos, (90, -50)]; [inimigo1, (90, -50)]; [inimigo2, (90, -50)]; [inimigo3, (90, -50)]; [inimigo4, (90, -50)]; [inimigo5, (90, -50)]; 140
25; [inimigos, (90, -50)]; [inimigo1, (90, -50)]; [inimigo2, (90, -50)]; [inimigo3, (90, -50)]; [inimigo4, (90, -50)]; [inimigo5, (90, -50)]; 160
26; [inimigos, (90, -50)]; [inimigo1, (90, -50)]; [inimigo2, (90, -50)]; [inimigo3, (90, -50)]; [inimigo4, (90, -50)]; [inimigo5, (90, -50)]; 160
27; [inimigos, (90, -50)]; [inimigo1, (90, -50)]; [inimigo2, (90, -50)]; [inimigo3, (90, -50)]; [inimigo4, (90, -50)]; [inimigo5, (90, -50)]; 160
28; [inimigos, (90, -50)]; [inimigo1, (90, -50)]; [inimigo2, (90, -50)]; [inimigo3, (90, -50)]; [inimigo4, (90, -50)]; [inimigo5, (90, -50)]; 90
29; [inimigos, (90, -50)]; [inimigo1, (90, -50)]; [inimigo2, (90, -50)]; [inimigo3, (90, -50)]; [inimigo4, (90, -50)]; [inimigo5, (90, -50)]; 135
30; [inimigos, (90, -50)]; [inimigo1, (90, -50)]; [inimigo2, (90, -50)]; [inimigo3, (90, -50)]; [inimigo4, (90, -50)]; [inimigo5, (90, -50)]; 80

1; [inimigos, (90, -50)]; [inimigo1, (90, -50)]; [inimigo2, (90, -50)]; [inimigo3, (90, -50)]; [inimigo4, (90, -50)]; [inimigo5, (90, -50)]; 160
2; [inimigos, (90, -50)]; [inimigo1, (90, -50)]; [inimigo2, (90, -50)]; [inimigo3, (90, -50)]; [inimigo4, (90, -50)]; [inimigo5, (90, -50)]; 110
3; [inimigos, (90, -50)]; [inimigo1, (90, -50)]; [inimigo2, (90, -50)]; [inimigo3, (90, -50)]; [inimigo4, (90, -50)]; [inimigo5, (90, -50)]; 140
4; [inimigos, (90, -50)]; [inimigo1, (90, -50)]; [inimigo2, (90, -50)]; [inimigo3, (90, -50)]; [inimigo4, (90, -50)]; [inimigo5, (90, -50)]; 140
5; [inimigos, (90, -50)]; [inimigo1, (90, -50)]; [inimigo2, (90, -50)]; [inimigo3, (90, -50)]; [inimigo4, (90, -50)]; [inimigo5, (90, -50)]; 160
6; [inimigos, (90, -50)]; [inimigo1, (90, -50)]; [inimigo2, (90, -50)]; [inimigo3, (90, -50)]; [inimigo4, (90, -50)]; [inimigo5, (90, -50)]; 80
7; [inimigos, (90, -50)]; [inimigo1, (90, -50)]; [inimigo2, (90, -50)]; [inimigo3, (90, -50)]; [inimigo4, (90, -50)]; [inimigo5, (90, -50)]; 160
8; [inimigos, (90, -50)]; [inimigo1, (90, -50)]; [inimigo2, (90, -50)]; [inimigo3, (90, -50)]; [inimigo4, (90, -50)]; [inimigo5, (90, -50)]; 30
9; [inimigos, (90, -50)]; [inimigo1, (90, -50)]; [inimigo2, (90, -50)]; [inimigo3, (90, -50)]; [inimigo4, (90, -50)]; [inimigo5, (90, -50)]; 75
10; [inimigos, (90, -50)]; [inimigo1, (90, -50)]; [inimigo2, (90, -50)]; [inimigo3, (90, -50)]; [inimigo4, (90, -50)]; [inimigo5, (90, -50)]; 135
11; [inimigos, (90, -50)]; [inimigo1, (90, -50)]; [inimigo2, (90, -50)]; [inimigo3, (90, -50)]; [inimigo4, (90, -50)]; [inimigo5, (90, -50)]; 100
12; [inimigos, (90, -50)]; [inimigo1, (90, -50)]; [inimigo2, (90, -50)]; [inimigo3, (90, -50)]; [inimigo4, (90, -50)]; [inimigo5, (90, -50)]; 160
13; [inimigos, (90, -50)]; [inimigo1, (90, -50)]; [inimigo2, (90, -50)]; [inimigo3, (90, -50)]; [inimigo4, (90, -50)]; [inimigo5, (90, -50)]; 140
14; [inimigos, (90, -50)]; [inimigo1, (90, -50)]; [inimigo2, (90, -50)]; [inimigo3, (90, -50)]; [inimigo4, (90, -50)]; [inimigo5, (90, -50)]; 100
15; [inimigos, (90, -50)]; [inimigo1, (90, -50)]; [inimigo2, (90, -50)]; [inimigo3, (90, -50)]; [inimigo4, (90, -50)]; [inimigo5, (90, -50)]; 140
16; [inimigos, (90, -50)]; [inimigo1, (90, -50)]; [inimigo2, (90, -50)]; [inimigo3, (90, -50)]; [inimigo4, (90, -50)]; [inimigo5, (90, -50)]; 185
17; [inimigos, (90, -50)]; [inimigo1, (90, -50)]; [inimigo2, (90, -50)]; [inimigo3, (90, -50)]; [inimigo4, (90, -50)]; [inimigo5, (90, -50)]; 160
18; [inimigos, (90, -50)]; [inimigo1, (90, -50)]; [inimigo2, (90, -50)]; [inimigo3, (90, -50)]; [inimigo4, (90, -50)]; [inimigo5, (90, -50)]; 160
19; [inimigos, (90, -50)]; [inimigo1, (90, -50)]; [inimigo2, (90, -50)]; [inimigo3, (90, -50)]; [inimigo4, (90, -50)]; [inimigo5, (90, -50)]; 160
