9; [inimigos, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo2, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo2, (-100, 300)]; [inimigo1, (90, -50)]; 160
10; [inimigos, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo2, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo2, (-100, 300)]; [inimigo1, (-100, 800)]; 140
11; [inimigos, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo2, (90, -50)]; [inimigo1, (-100, 300)]; [inimigos, (-100, 100)]; [inimigo1, (1350, 800)]; 160
12; [inimigos, (90, -50)]; [inimigo1, (-100, 300)]; [inimigos, (-100, 100)]; [inimigo1, (-100, 300)]; [inimigos, (-100, 300)]; [inimigo1, (-50, 800)]; 175
13; [inimigos, (90, -50)]; [inimigo1, (-100, 300)]; [inimigos, (-100, 100)]; [inimigo1, (-100, 300)]; [inimigos, (-100, 300)]; [inimigo1, (-100, 100)]; 40
14; [inimigo1, (-100, 300)]; [inimigo1, (-100, 300)]; [inimigos, (90, -50)]; [inimigos, (-100, 100)]; [inimigo1, (1200, 800)]; [inimigo1, (90, -50)]; 130
15; [inimigo1, (-100, 300)]; [inimigo1, (-100, 300)]; [inimigos, (90, -50)]; [inimigos, (-100, 100)]; [inimigo1, (1350, 500)]; [inimigo1, (90, -50)]; 90
16; [inimigo1, (-100, 300)]; [inimigo1, (-100, 300)]; [inimigos, (90, -50)]; [inimigos, (-100, 100)]; [inimigo1, (-100, 300)]; [inimigo1, (90, -50)]; 180
17; [inimigo1, (-100, 300)]; [inimigo1, (-100, 300)]; [inimigos, (90, -50)]; [inimigos, (-100, 100)]; [inimigo1, (-100, 300)]; [inimigo1, (90, -50)]; 155
18; [inimigo1, (-100, 300)]; [inimigo1, (-100, 300)]; [inimigos, (90, -50)]; [inimigos, (-100, 100)]; [inimigo1, (800, -50)]; [inimigo1, (90, -50)]; 110
19; [inimigo1, (-100, 300)]; [inimigos, (90, -50)]; [inimigo1, (-100, 300)]; [inimigos, (-100, 100)]; [inimigo1, (90, -50)]; [inimigos, (-100, 300)]; 150
20; [inimigo1, (90, -50)]; [inimigo1, (-100, 300)]; [inimigos, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo1, (-100, 300)]; [inimigo1, (90, -50)]; 110
21; [inimigo1, (90, -50)]; [inimigo1, (-100, 300)]; [inimigos, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo1, (-100, 300)]; [inimigo1, (90, -50)]; 110
22; [inimigo1, (90, -50)]; [inimigo1, (-100, 300)]; [inimigos, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo1, (-100, 300)]; [inimigo1, (90, -50)]; 135
23; [inimigo1, (90, -50)]; [inimigos, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo1, (-100, 300)]; [inimigo1, (90, -50)]; [inimigos, (-100, 300)]; 110
24; [inimigo1, (-100, 300)]; [inimigo1, (90, -50)]; [inimigos, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo1, (90, -50)]; [inimigo1, (90, -50)]; 135
25; [inimigos, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo1, (90, -50)]; [inimigo1, (-100, 300)]; [inimigos, (-100, 300)]; [inimigo1, (90, -50)]; 65
26; [inimigo1, (-100, 300)]; [inimigos, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo1, (90, -50)]; [inimigo1, (90, -50)]; [inimigos, (-100, 300)]; 155
27; [inimigo1, (-100, 300)]; [inimigos, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo1, (90, -50)]; [inimigo1, (90, -50)]; [inimigos, (-100, 300)]; 85
28; [inimigo1, (-100, 300)]; [inimigo1, (90, -50)]; [inimigos, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo1, (90, -50)]; [inimigo1, (90, -50)]; 65
29; [inimigo1, (-100, 300)]; [inimigo1, (90, -50)]; [inimigos, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo1, (90, -50)]; [inimigo1, (90, -50)]; 135
30; [inimigos, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo1, (90, -50)]; [inimigo1, (-100, 300)]; [inimigos, (-100, 300)]; [inimigo1, (90, -50)]; 65

1; [inimigos, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo2, (1350, 100)]; [inimigo3, (-100, 100)]; [inimigo4, (200, -50)]; [inimigo5, (1350, 500)]; 140
2; [inimigo2, (1350, 100)]; [inimigo4, (200, -50)]; [inimigos, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo2, (200, -50)]; [inimigo4, (800, -50)]; 135
3; [inimigo4, (200, -50)]; [inimigo2, (1350, 100)]; [inimigos, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo4, (-100, 500)]; [inimigo4, (90, -50)]; 60
4; [inimigo1, (-100, 300)]; [inimigo4, (200, -50)]; [inimigo2, (1350, 100)]; [inimigos, (90, -50)]; [inimigo2, (200, -50)]; [inimigo4, (620, 800)]; 185
5; [inimigo1, (-100, 300)]; [inimigo4, (200, -50)]; [inimigo2, (1350, 100)]; [inimigos, (90, -50)]; [inimigo3, (200, -50)]; [inimigo3, (1350, 100)]; 140
