19; [inimigo4, (-100, 300)]; [inimigo4, (200, -50)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo4, (200, -50)]; [inimigo4, (-100, 300)]; 80
20; [inimigo4, (200, -50)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; 100
21; [inimigo4, (200, -50)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; 100
22; [inimigo4, (-100, 300)]; [inimigo4, (200, -50)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo4, (200, -50)]; [inimigo4, (800, -50)]; 80
23; [inimigo4, (-100, 300)]; [inimigo4, (200, -50)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo4, (200, -50)]; [inimigo4, (-100, 300)]; 100
24; [inimigo4, (-100, 300)]; [inimigo4, (200, -50)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo4, (200, -50)]; [inimigo4, (-100, 300)]; 100
25; [inimigo4, (-100, 300)]; [inimigo4, (200, -50)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo4, (200, -50)]; [inimigo4, (-100, 300)]; 60
26; [inimigo4, (200, -50)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; 120
27; [inimigo4, (200, -50)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; 120
28; [inimigo4, (200, -50)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; 100
29; [inimigo4, (200, -50)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; 120
30; [inimigo4, (200, -50)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; [inimigo4, (-100, 300)]; 100

1; [inimigos, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo2, (1350, 100)]; [inimigo3, (-100, 100)]; [inimigo4, (200, -50)]; [inimigo5, (1350, 500)]; 140
